model,target,split,macro_f1,macro_f1_in_val,n_classes,n_in_val,accuracy,weighted_f1,tau
C shared body,gender,forward split,0.5848,0.5848,5,5,0.8678,0.8663,
C shared body,gender,independent eval,0.1292,0.1292,5,5,0.2605,0.2205,
C shared body,gender,per-target split,0.6794,0.6794,5,5,0.882,0.8818,
D articleType-pretrained,gender,shared val,0.746,0.746,5,5,0.903,0.9026,
A two models,gender,shared val,0.744,0.744,5,5,0.9071,0.904,
C weighted,gender,shared val,0.7365,0.7365,5,5,0.8829,0.8852,
C + logit adj + TTA,gender,shared val,0.7359,0.7359,5,5,0.8945,0.8956,
C shared body,gender,shared val,0.728,0.728,5,5,0.8935,0.8948,
C unweighted,gender,shared val,0.728,0.728,5,5,0.8935,0.8948,
C without external,gender,shared val,0.728,0.728,5,5,0.8935,0.8948,
C shared body,gender,shared val,0.728,0.728,5,5,0.8935,0.8948,
C + logit adj,gender,shared val,0.728,0.728,5,5,0.8935,0.8948,0.0
C from scratch,gender,shared val,0.728,0.728,5,5,0.8935,0.8948,
C with external,gender,shared val,0.722,0.722,5,5,0.9004,0.8961,
B joint label,gender,shared val,0.7201,0.7201,5,5,0.893,0.8895,
1-NN pixels,gender,shared val,0.5335,0.5335,5,5,0.7707,0.7718,
majority,gender,shared val,0.1412,0.1412,5,5,0.5458,0.3855,
C shared body,usage,forward split,0.3588,0.4784,8,6,0.8957,0.8941,
C shared body,usage,independent eval,0.1124,0.1124,7,7,0.5747,0.4778,
C shared body,usage,per-target split,0.4032,0.4608,8,7,0.8948,0.8892,
C weighted,usage,shared val,0.4332,0.4951,8,7,0.8705,0.8717,
C + logit adj,usage,shared val,0.4256,0.4864,8,7,0.8636,0.8685,0.5
D articleType-pretrained,usage,shared val,0.4105,0.4691,8,7,0.9,0.8943,
C with external,usage,shared val,0.4076,0.4659,8,7,0.8952,0.8898,
B joint label,usage,shared val,0.4067,0.4648,8,7,0.8954,0.8898,
C shared body,usage,shared val,0.4056,0.4636,8,7,0.8901,0.8862,
C unweighted,usage,shared val,0.4056,0.4636,8,7,0.8901,0.8862,
C without external,usage,shared val,0.4056,0.4636,8,7,0.8901,0.8862,
C shared body,usage,shared val,0.4056,0.4636,8,7,0.8901,0.8862,
C from scratch,usage,shared val,0.4056,0.4636,8,7,0.8901,0.8862,
A two models,usage,shared val,0.4044,0.4622,8,7,0.8921,0.8862,
C + logit adj + TTA,usage,shared val,0.4027,0.4602,8,7,0.8647,0.8698,
1-NN pixels,usage,shared val,0.3265,0.3732,8,7,0.7765,0.7788,
majority,usage,shared val,0.108,0.1234,8,7,0.7606,0.6572,
